runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
3500000,c_18146_b_78480_d_31,602,35,1,t_898187_b_78480_tn_0,2562331,t_898187_b_78480_tn_0,2562331
3600000,c_18146_b_78480_d_31,703,36,1,t_5369313_b_78480_tn_0,2562331,t_2082238_b_78480_tn_0,2562322
3700000,c_18146_b_78480_d_31,704,37,1,t_2082236_b_78480_tn_0,2562331,t_2082239_b_78480_tn_0,2562322
3800000,c_18146_b_78480_d_31,705,38,1,t_2082237_b_78480_tn_0,2562331,t_2082240_b_78480_tn_0,2562322
3900000,c_18146_b_78480_d_31,706,39,1,t_2063806_b_78480_tn_0,2734696,t_2063805_b_78480_tn_0,2562322
400000,c_18146_b_78479_d_27,2108,4,1,t_5306767_b_78479_tn_0,815407,t_5306767_b_78479_tn_0,2562331
4000000,c_18146_b_78480_d_4,205,40,1,t_1523668_b_78480_tn_0,805739,t_1523668_b_78480_tn_0,2562331
4100000,c_18146_b_78480_d_4,2102,41,1,t_1521282_b_78480_tn_0,815407,t_1521282_b_78480_tn_0,2562331
4200000,c_18146_b_78480_d_4,2103,42,1,t_1523667_b_78480_tn_0,849473,t_1523667_b_78480_tn_0,2562322
4300000,c_18146_b_78480_d_4,2104,43,1,t_1523664_b_78480_tn_0,815405,t_1523664_b_78480_tn_0,2562322
4400000,c_18146_b_78480_d_4,2105,44,1,t_1523663_b_78480_tn_0,805739,t_1523663_b_78480_tn_0,2562331
4500000,c_18146_b_78480_d_4,2106,45,1,t_1523666_b_78480_tn_0,805739,t_1523666_b_78480_tn_0,2562331
4600000,c_18146_b_78480_d_4,2107,46,1,t_1523665_b_78480_tn_0,805606,t_1523665_b_78480_tn_0,2562331
4700000,c_18203_b_79894_d_32,VFA,47,1,t_2008346_b_79894_tn_0,2574480,t_905185_b_79894_tn_0,806467
4800000,c_18203_b_79894_d_32,VFB,48,1,t_5525700_b_79894_tn_0,806467,t_5525694_b_79894_tn_0,806467
4900000,c_18203_b_79894_d_95,VFA,49,1,t_1306413_b_79894_tn_0,2574480,t_2007783_b_79894_tn_0,806467
500000,c_18146_b_78479_d_27,2109,5,1,t_1521284_b_78479_tn_0,805739,t_1521284_b_78479_tn_0,2562331
5000000,c_18203_b_79894_d_95,VFB,50,1,t_5525707_b_79894_tn_0,806467,t_5525699_b_79894_tn_0,806467
5100000,c_18204_b_79895_d_127,SB5,51,1,t_905192_b_79895_tn_0,806467,t_905205_b_79895_tn_0,806467
5200000,c_18204_b_79895_d_127,VFA,52,1,t_905207_b_79895_tn_0,806467,t_905197_b_79895_tn_0,806467
5300000,c_18209_b_79896_d_32,SB8,53,1,t_2007743_b_79896_tn_0,806467,t_1306439_b_79896_tn_12,806467
5400000,c_18209_b_79896_d_32,VFA,54,1,t_5527013_b_79896_tn_0,806467,t_5527009_b_79896_tn_0,806467
5500000,c_18209_b_79896_d_95,SB6,55,1,t_2007731_b_79896_tn_0,806467,t_2007742_b_79896_tn_0,806467
5600000,c_18209_b_79896_d_95,VFA,56,1,t_5526995_b_79896_tn_0,806467,t_1306434_b_79896_tn_0,806467
5700000,c_18317_b_79897_d_32,SB9,57,1,t_5527743_b_79897_tn_0,806467,t_1306441_b_79897_tn_5,806467
5800000,c_18317_b_79897_d_32,VFA,58,1,t_5527751_b_79897_tn_0,806467,t_906490_b_79897_tn_0,806467
5900000,c_18317_b_79897_d_95,SB6,59,1,t_1306430_b_79897_tn_1,806467,t_1304069_b_79897_tn_0,806467
600000,c_18146_b_78479_d_27,2110,6,1,t_1521285_b_78479_tn_0,805606,t_1521285_b_78479_tn_0,2562331
6000000,c_18317_b_79897_d_95,VFA,60,1,t_1306431_b_79897_tn_0,806467,t_1306431_b_79897_tn_0,806467
6100000,c_20305_b_27086_d_2,109C,61,1,t_1229733_b_27086_tn_0,2324955,t_1229734_b_27086_tn_0,806376
6200000,c_20305_b_27086_d_31,110-1,62,1,t_1229725_b_27086_tn_0,806390,t_1229713_b_27086_tn_0,806389
6300000,c_20305_b_27086_d_31,110-2,63,1,t_1229716_b_27086_tn_0,806390,t_1229709_b_27086_tn_0,806389
6400000,c_20305_b_27086_d_31,110-3,64,1,t_1229712_b_27086_tn_0,806390,t_1229710_b_27086_tn_0,806389
